drug,gene,metric,spearman_r,spearman_p,pearson_r,pearson_p,n_cell_lines
bexarotene,HNF1A,auc,0.024887549516682983,0.4287940036554102,0.0570029444661502,0.06975395679376808,1013
bexarotene,MYC,ic50,0.01804214532384241,0.9074606823058986,0.4856386075233028,0.0008327973183067372,1013
bexarotene,MYC,auc,-0.05182108094125687,0.09926753025328097,-0.040096037131634565,0.2022737707698317,1013
bexarotene,ERBB2,ic50,0.24490802734512648,0.10909452566820793,-0.22700592114732251,0.1383772679768564,1013
bexarotene,ERBB2,auc,0.09804249676640779,0.0017832560059147394,0.11806593749110698,0.00016568265165448943,1013
talmapimod,CRP,ic50,0.0035801081582259526,0.9455807085120752,0.06158213033219566,0.23990622946423404,864
talmapimod,CRP,auc,-0.0028592967063099713,0.9331166096352699,-0.023335265765444497,0.4933349645498923,864
talmapimod,HNF1A,ic50,-0.07805540803409904,0.1361047472069816,-0.011329180150592677,0.8289834504028221,864
talmapimod,HNF1A,auc,-0.03640771080299038,0.2850836943048921,0.028134231653036718,0.4088378980271373,864
talmapimod,MYC,ic50,-0.03052753521312313,0.56045617122263,0.04119541395650718,0.43201256123353304,864
talmapimod,MYC,auc,-0.08142372837223921,0.016671659082777218,-0.08121143316642511,0.016958432656438593,864
talmapimod,ERBB2,ic50,-0.01818021388660365,0.7288566192212238,0.04933080816467505,0.34665426408145295,864
talmapimod,ERBB2,auc,0.0018599502886269194,0.9564634737919231,0.05835486075629481,0.08648221110169578,864
P276-00,CRP,ic50,0.07893743752107808,0.006833022507552304,-0.01751207325662276,0.5490535125999847,1178
P276-00,CRP,auc,0.07509072680726214,0.00993254857651374,0.0016431893541868914,0.955072772894174,1178
P276-00,HNF1A,ic50,0.018308224757787973,0.5310368940925487,-0.028876387327800113,0.3230833316723244,1178
P276-00,HNF1A,auc,0.001267833879247862,0.965328137181768,-0.04986575621012061,0.08712911020918532,1178
P276-00,MYC,ic50,-0.06216369373655763,0.033267585495610756,-0.009128323089205435,0.7548050012743056,1178
P276-00,MYC,auc,-0.061891683461979395,0.033667806621502046,-0.027749055798675065,0.34131238912308576,1178
P276-00,ERBB2,ic50,0.005155534225686326,0.8599912840510565,0.05931134742858676,0.04225683136348366,1178
P276-00,ERBB2,auc,0.025099989710161374,0.38940165314463837,0.07406640293154004,0.01099360741675622,1178
MLN0128,CRP,ic50,-0.01553267429576706,0.6096278545142378,-0.012484254448429774,0.6815232247273008,1095
MLN0128,CRP,auc,0.015754735509290668,0.6025246161003214,-0.01570838633981439,0.6035925763732894,1095
MLN0128,HNF1A,ic50,0.05860479521614747,0.05384850345983951,0.08154089030414641,0.007257338133841442,1095
MLN0128,HNF1A,auc,0.05589115099196066,0.06448454567393096,0.061818779587128475,0.04083003824570019,1095
MLN0128,MYC,ic50,-0.04510205833341187,0.13799396142504106,-0.011669189030498545,0.7012819642620524,1095
MLN0128,MYC,auc,-0.026209956650483243,0.38623451566271416,-0.0345097529120687,0.2538739378080709,1095
MLN0128,ERBB2,ic50,-0.016069847032254527,0.5973151188782916,-0.005784517734011407,0.8491960953029425,1095
MLN0128,ERBB2,auc,-0.024210606799510627,0.4235079006132178,-0.030752770190291292,0.30929071289113996,1095
oltipraz,CRP,ic50,0.10542917959114906,0.623926452059971,-0.03557255362356388,0.8689299372272985,960
oltipraz,CRP,auc,-0.008738559868322684,0.7868473235912238,-0.024179056696309383,0.45428283486629983,960
oltipraz,HNF1A,ic50,-0.005240224635777517,0.9806122198703521,-0.05701816221084567,0.7912912971155672,960
oltipraz,HNF1A,auc,0.058193601699982514,0.07150747789837945,0.046040401433578904,0.1540395815631185,960
oltipraz,MYC,ic50,-0.00608695652173913,0.9774802016477157,-0.026836567419951777,0.9009389159758552,960
oltipraz,MYC,auc,-0.03275919527775409,0.310603618846052,-0.020548134831269778,0.5248426932178983,960
oltipraz,ERBB2,ic50,0.21304347826086956,0.31754525245129106,0.06386778835077697,0.7668584814638162,960
oltipraz,ERBB2,auc,0.12353612392103168,0.00012437041054796068,0.09354283595906249,0.003720861923528905,960
alpelisib,CRP,ic50,0.013168320925442583,0.7588376019036125,0.044479451852231476,0.2995182498426654,1064
alpelisib,CRP,auc,-0.036664861373075834,0.23209969924251342,0.03728592655132615,0.22428102355375273,1064
alpelisib,HNF1A,ic50,0.006042078805575311,0.8879798936579267,0.005262433556490812,0.9023569827400214,1064
alpelisib,HNF1A,auc,-0.07925764163570825,0.009700214463362996,-0.05229774770883591,0.08818275162153132,1064
alpelisib,MYC,ic50,-0.021961095947475348,0.608621060319881,0.013160378017838027,0.7589785701581617,1064
alpelisib,MYC,auc,-0.03417968899377385,0.26531236244909523,-0.019711493089761094,0.5206939491616798,1064
alpelisib,ERBB2,ic50,-0.12939178628206585,0.002451486205829267,0.010629416081698225,0.8042802183909602,1064
alpelisib,ERBB2,auc,-0.17790572035524702,5.12817549856384e-09,-0.12914558277119265,2.385635088480593e-05,1064
selumetinib,CRP,ic50,0.02884166714385632,0.5328001795397164,-0.02176286470519851,0.6379213665742005,1126
selumetinib,CRP,auc,0.012932562530834855,0.6646514162156049,-0.07582157573562637,0.010924600453923234,1126
selumetinib,HNF1A,ic50,0.007989048387409483,0.8628558011729176,-0.030664259066767532,0.5072210128076933,1126
selumetinib,HNF1A,auc,-0.010626303779384212,0.7216986943378293,-0.03458360915151938,0.24623497727148427,1126
selumetinib,MYC,ic50,-0.015309515321200727,0.7406157946442398,0.011858877178751651,0.7976275127531656,1126
selumetinib,MYC,auc,-0.11259167540027129,0.000153112953790849,-0.0818976991451495,0.005964607653713713,1126
selumetinib,ERBB2,ic50,0.12939267356693226,0.004961601779824705,0.013139839455803111,0.7763194555962387,1126
selumetinib,ERBB2,auc,0.11918951616712589,6.088044441089025e-05,0.13502296084940396,5.45134601918144e-06,1126
dichloroacetate,CRP,ic50,-0.022441208510230657,0.7015747193349605,-0.009755730916992136,0.8677105241631539,1003
dichloroacetate,CRP,auc,0.01178108520637909,0.7094039617718932,-0.0382180889546502,0.22654527690880516,1003
dichloroacetate,HNF1A,ic50,-0.026349711393032698,0.6527415387991626,0.10216583790189783,0.08030908358171966,1003
dichloroacetate,HNF1A,auc,0.018121785110173427,0.5664744070209151,-0.02318848001668844,0.46321322727178926,1003
dichloroacetate,MYC,ic50,0.0031754464254106544,0.9567632710604249,-0.011401807352510453,0.8456483552910743,1003
dichloroacetate,MYC,auc,-0.05652530408206701,0.07355609262939483,-0.0250751878365404,0.4276205006239158,1003
dichloroacetate,ERBB2,ic50,-0.12387875694126704,0.033735896132694766,-0.07148939294044081,0.2216584290803853,1003
dichloroacetate,ERBB2,auc,-0.018503133028920937,0.5583346884099586,0.029161613752155906,0.3562167498603345,1003
roscovitine,CRP,ic50,0.040247767949390466,0.7726149418968415,0.10763658669206815,0.43851034738828565,618
roscovitine,CRP,auc,0.01955829827531486,0.627482244413101,-0.03185664085235957,0.42921196438177805,618
roscovitine,HNF1A,ic50,0.010515499840751097,0.939843331600861,-0.12840811053527845,0.35477740007028524,618
roscovitine,HNF1A,auc,-0.038935694856648655,0.3338776430585488,-0.07237245792808455,0.07219817339219839,618
roscovitine,MYC,ic50,-0.14484743374907685,0.29601161195593395,-0.11930885577096985,0.3901761360246664,618
roscovitine,MYC,auc,-0.09778260359354006,0.015026262039645043,-0.10111939235962569,0.011898223748968945,618
roscovitine,ERBB2,ic50,0.1303626903741692,0.34743886194657647,0.2262664299290008,0.0999243238383121,618
roscovitine,ERBB2,auc,-0.03542024633691076,0.3793868910103156,-0.002114678713539129,0.9581592125621105,618
sorafenib,CRP,ic50,0.026239408609963398,0.4727569478141777,0.005534420142077145,0.8796476697515773,1147
sorafenib,CRP,auc,0.036246747065453576,0.21995519937654856,0.034336205522169455,0.24525484447856633,1147
sorafenib,HNF1A,ic50,-0.012995152456414076,0.7221806689597673,0.013035707339881613,0.72134967399817,1147
sorafenib,HNF1A,auc,-0.022160815731151497,0.4533735451582965,0.03191137332675736,0.2802083163660586,1147
sorafenib,MYC,ic50,0.02182679461801477,0.5503574684397031,0.0008685674103250628,0.9810417278560268,1147
sorafenib,MYC,auc,-0.10347355117194347,0.0004481348210577769,-0.09839539759378024,0.0008473007214161894,1147
sorafenib,ERBB2,ic50,-0.06276428283954727,0.08564240599027832,-0.021978949119571812,0.5475810527723961,1147
sorafenib,ERBB2,auc,0.01951784568592343,0.5090224342184175,0.06199452287299313,0.03578845399329941,1147
bardoxolone-methyl,CRP,ic50,0.01822719125957766,0.535846872146342,-0.01305515271345043,0.6574663979445194,1161
bardoxolone-methyl,CRP,auc,0.02250884041070785,0.4435425743635937,-0.026906296726812017,0.3596833513073251,1161
bardoxolone-methyl,HNF1A,ic50,-0.007471519924788799,0.7996806728736431,-0.0016315696288170378,0.9558091283762005,1161
